date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:09	97/97	---MCZ	200	added ('OK')	text/plain	etag:W/%2265fcb3ce-53%22	https://join-binancemaster.minisite.ai/robots.txt		(from )
15:36:09	53339/53339	---MCZ	200	added ('OK')	text/html	etag:W/%2265fcb3ce-d05b%22	https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/index129d.html	(from )
15:36:10	53339/53339	---MCZ	200	added ('OK')	text/html	etag:W/%2265fcb3ce-d05b%22	https://join-binancemaster.minisite.ai/index	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/index.html	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:10	224626/224626	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2017%20Jun%202024%2010:06:09%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Shiva/Desktop/shiv_x/connect.facebook.net/en_US/fbevents.js	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:11	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2010:06:10%20GMT	http://join-binancemaster.minisite.ai/sp-auth/constructor/mini-landing-site/browser/styles.css	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/sp-auth/constructor/mini-landing-site/browser/styles.3.delayed	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:11	838450/838450	---M--	200	added ('OK')	image/png	etag:%2268b776806b8530ac5f852d53db35d017%22	https://userimages-sendpulse.s3.eu-central-1.amazonaws.com/sites/107fce5988735e531cae0da812db9a62/86852d4d56fce9a93625b76da5cf2af7/thumbnail.png	C:/Users/Shiva/Desktop/shiv_x/userimages-sendpulse.s3.eu-central-1.amazonaws.com/sites/107fce5988735e531cae0da812db9a62/86852d4d56fce9a93625b76da5cf2af7/thumbnail.png	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:13	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2010:06:10%20GMT	http://join-binancemaster.minisite.ai/css/theme_settings_styles.css	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/css/theme_settings_styles.css	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:13	74904/74904	---MCZ	200	added ('OK')	text/css	etag:W/%226644aac0-12498%22	https://join-binancemaster.minisite.ai/sp-auth/constructor/mini-landing-site/browser/styles.css	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/sp-auth/constructor/mini-landing-site/browser/styles.css	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:13	2693/2693	---MCZ	200	added ('OK')	text/css	etag:W/%2265fcb3ce-a85%22	https://join-binancemaster.minisite.ai/css/theme_settings_styles.css	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/css/theme_settings_styles.css	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:15	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2010:06:13%20GMT	http://join-binancemaster.minisite.ai/favicon.ico	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/favicon.8.delayed	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:15	1326/1326	---M--	200	added ('OK')	image/x-icon	etag:%2265fcb3ce-52e%22	https://join-binancemaster.minisite.ai/favicon.ico	C:/Users/Shiva/Desktop/shiv_x/join-binancemaster.minisite.ai/favicon.ico	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:16	3152987/3152987	---M--	200	added ('OK')	image/jpeg	etag:%22374a6a2d4543b0f41494dead0fcb5248%22	https://1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/Patterns-with-neon-illustrations-Wallpaper-4k-Ultra-HD-ID3475.jpg	C:/Users/Shiva/Desktop/shiv_x/1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/Patterns-with-neon-illustrations-Wallpaper-4k-Ultra-HD-ID3475.jpg	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:16	19048/19048	---M--	200	added ('OK')	image/jpeg	etag:%22652bb720-4a68%22	https://s8267867.sendpul.se/image/files/emailservice/userfiles/89a5d85687885b2692546c32fa24e5198267867/sites/avatar-photo_2023-10-15_16-48-23%20(1).jpg	C:/Users/Shiva/Desktop/shiv_x/s8267867.sendpul.se/image/files/emailservice/userfiles/89a5d85687885b2692546c32fa24e5198267867/sites/avatar-photo_2023-10-15_16-48-23%20(1).jpg	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:16	110982/110982	---M--	200	added ('OK')	image/png	etag:%22a9fa325118b8197166b72d4f17a0777d%22	https://1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/IMG_8351.png	C:/Users/Shiva/Desktop/shiv_x/1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/IMG_8351.png	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:16	94231/94231	---M--	200	added ('OK')	image/png	etag:%228944d4aec30b5b99a25c259cf3ac1541%22	https://1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/IMG_8352.png	C:/Users/Shiva/Desktop/shiv_x/1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/IMG_8352.png	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
15:36:17	113904/113904	---M--	200	added ('OK')	image/png	etag:%22f35ebe3720c9602bc8d9aa3be6e8fcc8%22	https://1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/IMG_8353.png	C:/Users/Shiva/Desktop/shiv_x/1443908614.rsc.cdn77.org/89a5d85687885b2692546c32fa24e5198267867/IMG_8353.png	(from https://join-binancemaster.minisite.ai/?fbclid=PAAabVkb2CuheFFQmqyWat8sqLOfi7QkmaPl-Tc8Y3lNqkRYo46puw9owrIew_aem_AWeaRHBkY1eLgryAXzBymCiP0XWGKV6VBQAiOoTol4-AAvF5WEZhkgvN7oeqzvxVG_PzojNrSiV5csIfXQOmJYAX)
